Date,Open,High,Low,Close,Adj Close,Volume
2019-01-30,93.610001,94.660004,93.570000,94.519997,92.114487,7750200
2019-01-31,94.430000,96.809998,94.080002,96.470001,94.014862,16044400
2019-02-01,96.349998,97.610001,95.989998,97.470001,94.989410,12720800
2019-02-04,97.209999,98.220001,96.720001,98.029999,95.535164,11887500
2019-02-05,97.989998,98.019997,97.209999,97.440002,94.960175,9772300
2019-02-06,97.250000,98.320000,97.120003,97.919998,95.427956,8693900
2019-02-07,97.519997,97.599998,96.339996,97.139999,94.667816,8732500
2019-02-08,97.010002,97.720001,96.699997,97.709999,95.223312,7483200
2019-02-11,97.489998,98.389999,97.430000,98.269997,95.769051,8494100
2019-02-12,98.379997,99.339996,97.980003,99.260002,96.733856,11238800
2019-02-13,99.290001,99.699997,99.010002,99.239998,96.714371,11587200
2019-02-14,98.699997,98.820000,97.839996,98.459999,95.954224,7930100
2019-02-15,98.949997,99.199997,98.250000,98.480003,95.973709,12069100
2019-02-19,98.559998,100.000000,98.470001,99.989998,97.445274,10098200
2019-02-20,99.779999,100.220001,98.940002,99.279999,96.753357,8947400
2019-02-21,99.099998,99.860001,98.589996,99.779999,97.240631,7444800
2019-02-22,99.690002,100.400002,99.400002,100.250000,97.698662,7925400
2019-02-25,100.360001,100.449997,99.330002,99.570000,97.035965,7436100
2019-02-26,99.839996,100.180000,99.629997,99.830002,97.289360,7115300
2019-02-27,99.339996,99.629997,98.820000,98.910004,96.392776,6013600
2019-02-28,98.910004,99.199997,98.080002,98.550003,96.041931,10575400
2019-03-01,98.610001,98.779999,97.830002,98.440002,95.934731,7733200
2019-03-04,98.570000,98.879997,97.879997,98.870003,96.353783,6895300
2019-03-05,98.910004,99.680000,98.910004,99.089996,96.568184,6274600
2019-03-06,98.860001,99.099998,98.400002,98.930000,96.412254,4622300
2019-03-07,98.970001,99.599998,98.250000,98.550003,96.041931,8408600
2019-03-08,98.820000,99.180000,97.750000,98.410004,95.905495,5144500
2019-03-11,98.790001,99.680000,98.510002,99.580002,97.045715,7544400
2019-03-12,99.779999,100.519997,99.730003,100.050003,97.503761,7597500
2019-03-13,99.989998,101.589996,99.959999,101.180000,98.604996,9883300
2019-03-14,100.940002,101.779999,100.720001,101.320000,98.741432,8590200
2019-03-15,101.760002,102.889999,101.730003,102.440002,99.832924,30802700
2019-03-18,102.059998,102.290001,101.199997,101.510002,98.926605,8442800
2019-03-19,101.910004,102.139999,101.290001,101.900002,99.306679,7334100
2019-03-20,101.730003,102.309998,101.050003,101.720001,99.131256,7513800
2019-03-21,101.279999,102.910004,101.279999,102.489998,99.881653,8221000
2019-03-22,102.480003,103.150002,99.010002,101.660004,99.072784,11035900
2019-03-25,101.660004,102.339996,101.260002,101.959999,99.365143,6955500
2019-03-26,102.440002,103.480003,102.400002,103.019997,100.398163,6909400
2019-03-27,102.760002,103.019997,102.040001,102.900002,100.281227,6037100
