Date,Open,High,Low,Close,Adj Close,Volume
2019-01-30,172.240005,174.630005,172.100006,173.589996,169.490891,2086400
2019-01-31,173.440002,179.289993,173.350006,178.979996,174.753601,3129900
2019-02-01,178.369995,179.119995,176.500000,177.820007,173.621017,2233500
2019-02-04,177.110001,178.190002,176.130005,178.100006,173.894409,2825500
2019-02-05,177.570007,178.699997,176.770004,178.169998,173.962753,1989200
2019-02-06,178.729996,179.240005,177.600006,178.100006,173.894409,1661800
2019-02-07,178.000000,181.449997,177.880005,181.350006,177.067657,2129200
2019-02-08,181.210007,183.369995,181.020004,183.009995,178.688446,1830600
2019-02-11,182.419998,183.929993,182.320007,183.009995,178.688446,1851100
2019-02-12,183.000000,184.410004,181.679993,183.270004,178.942307,1751200
2019-02-13,183.059998,183.860001,182.429993,182.850006,178.532242,1431600
2019-02-14,183.360001,184.440002,182.539993,182.610001,178.297897,1602000
2019-02-15,184.610001,185.110001,183.300003,184.039993,179.694138,2203300
2019-02-19,184.130005,185.809998,183.399994,185.369995,180.992722,2443500
2019-02-20,185.080002,186.100006,184.039993,185.639999,181.256348,2550800
2019-02-21,184.889999,186.869995,184.559998,186.559998,182.154617,2068700
2019-02-22,186.830002,188.139999,185.759995,188.130005,183.687561,1683800
2019-02-25,188.449997,189.389999,186.309998,187.880005,183.443466,1888900
2019-02-26,188.179993,189.020004,187.149994,188.229996,183.785187,1911100
2019-02-27,186.580002,187.490005,186.080002,186.809998,183.618088,1822000
2019-02-28,187.009995,188.740005,186.059998,187.720001,184.512543,3113500
2019-03-01,187.520004,188.580002,186.589996,187.559998,184.355270,1716400
2019-03-04,188.229996,188.550003,186.570007,188.240005,185.023651,2152300
2019-03-05,188.369995,189.210007,188.020004,188.320007,185.102295,1916700
2019-03-06,188.059998,188.970001,186.979996,187.570007,184.365112,1788900
2019-03-07,188.259995,189.130005,187.380005,187.929993,184.718948,2352800
2019-03-08,188.610001,189.429993,186.919998,188.699997,185.475800,1743200
2019-03-11,188.610001,189.779999,188.460007,189.500000,186.262115,1783900
2019-03-12,190.000000,191.360001,189.429993,190.889999,187.628372,1785100
2019-03-13,189.869995,191.520004,189.460007,190.970001,187.707016,1229000
2019-03-14,191.160004,192.169998,190.210007,190.979996,187.716843,1454200
2019-03-15,190.759995,191.940002,190.009995,191.240005,187.972412,3600500
2019-03-18,191.470001,191.979996,190.130005,190.869995,187.608719,1867300
2019-03-19,190.529999,190.610001,187.789993,188.500000,185.279221,2020200
2019-03-20,189.039993,191.169998,187.839996,189.869995,186.625809,2167300
2019-03-21,190.289993,192.279999,189.850006,191.910004,188.630966,1874800
2019-03-22,192.250000,195.550003,192.250000,193.929993,190.616440,2371500
2019-03-25,194.449997,195.100006,193.550003,193.610001,190.301910,1759600
2019-03-26,193.820007,195.330002,193.020004,195.000000,191.668167,1523300
2019-03-27,195.250000,195.300003,192.869995,193.919998,190.606598,1529200
2019-03-28,193.910004,194.389999,191.320007,191.919998,188.640778,2331000
2019-03-29,191.929993,193.470001,191.300003,193.320007,190.016861,3009800
2019-04-01,193.419998,193.750000,190.210007,190.490005,187.235229,2410100
2019-04-02,190.710007,191.000000,188.710007,189.479996,186.242477,2490100
2019-04-03,189.110001,190.279999,187.889999,189.309998,186.075378,2050700
2019-04-04,189.979996,190.039993,187.429993,188.399994,185.180908,1776700
2019-04-05,189.380005,190.339996,188.000000,190.080002,186.832230,1613200
2019-04-08,189.440002,189.820007,187.830002,188.639999,185.416840,1443200
2019-04-09,188.639999,189.940002,188.529999,189.710007,186.468552,1654300
2019-04-10,189.750000,191.419998,188.399994,188.619995,185.397156,1322900
2019-04-11,188.619995,190.179993,188.399994,190.039993,186.792892,1434600
2019-04-12,189.369995,191.050003,188.449997,190.850006,187.589081,1192100
2019-04-15,191.110001,192.070007,190.679993,191.160004,187.893768,1468200
2019-04-16,191.059998,192.309998,189.419998,189.520004,186.281784,1630800
2019-04-17,189.750000,190.550003,189.039993,189.649994,186.409561,2011400
2019-04-18,189.419998,190.679993,189.240005,189.360001,186.124512,1667700
2019-04-22,189.169998,190.830002,189.050003,190.380005,187.127106,1825900
2019-04-23,190.860001,191.470001,188.080002,189.789993,186.547165,2204500
2019-04-24,189.759995,191.100006,189.149994,190.059998,186.812561,1546800
2019-04-25,189.429993,191.720001,189.259995,190.479996,187.225372,1474600
2019-04-26,191.399994,193.389999,191.289993,191.710007,188.434372,1413400
2019-04-29,192.029999,192.899994,190.610001,191.770004,188.493362,1773600
2019-04-30,191.759995,194.649994,191.259995,194.440002,191.117722,2660900
2019-05-01,193.509995,195.039993,192.929993,193.270004,189.967712,2135300
2019-05-02,192.839996,193.869995,190.559998,191.720001,188.444199,2508900
2019-05-03,191.570007,192.630005,190.809998,192.410004,189.122406,1673700
2019-05-06,192.199997,193.330002,190.839996,190.899994,187.638214,1682500
2019-05-07,189.809998,190.759995,188.860001,189.750000,186.507874,1937100
2019-05-08,189.600006,190.009995,187.300003,187.880005,184.669815,1971800
2019-05-09,188.449997,189.210007,187.479996,188.610001,185.387344,1718100
2019-05-10,188.559998,192.199997,188.080002,191.759995,188.483505,1605000
2019-05-13,191.419998,195.410004,191.080002,194.929993,191.599335,2658200
2019-05-14,194.919998,196.710007,193.509995,194.899994,191.569855,2238600
2019-05-15,195.210007,196.130005,194.470001,194.860001,191.530548,1767900
2019-05-16,194.490005,197.919998,193.820007,197.110001,193.742111,2116400
2019-05-17,195.830002,199.460007,195.619995,198.979996,195.580139,1705400
2019-05-20,199.279999,200.610001,198.940002,199.350006,195.943832,1366000
2019-05-21,199.500000,200.990005,198.789993,198.899994,195.501511,1517300
2019-05-22,199.490005,202.350006,198.619995,201.929993,198.479736,1676700
2019-05-23,202.259995,203.789993,202.259995,203.529999,200.052414,2054000
2019-05-24,203.720001,204.729996,203.110001,203.369995,199.895142,1389800
2019-05-28,203.770004,204.089996,200.929993,201.169998,197.732742,1762100
